what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1759912785554
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1759912858908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759912859207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759912861903
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1759912879086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759912881821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759912884702
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1759912885685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759912885713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759912890945
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1759912897525
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1759912901677
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --sidp=0x8828, --id=0x0, --timestamp=1759908319, /cygdrive/c/Users/fismail/Desktop/Projet_Racine_Carree_Etu/Projet_Racine_Carree_Etu/software/sqrt/sqrt.elf] return code: 4, 'other error'",1759912910715
error,log,,,"Downloading ELF Process failed",1759912910715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759912910723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759912916251
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1759912919623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759912925149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759912928199
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1759912929151
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1759912933827
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1759912937771
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1759912942073
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1759913127208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1759913136218
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1759913139361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759913139638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759913144811
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1759913162061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759913165335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759913168286
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1759913169174
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1759913173287
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1759913177381
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1759913184667
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1759913196351
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1759913212748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1759913215417
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1759913217801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1759913218597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1759913236497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1759913241582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1759913247618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1759913255535
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1759913258858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759913259147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759913265244
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1759913271208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759913281699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759913284565
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1759913285502
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1759913289675
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1759913294749
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1759913302168
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1759913314216
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1759913336132
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1759913336436
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1759913336992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1759913337409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1759913707362
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1759913707663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1759913708020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1759913708360
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1759913708726
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1759913709124
