what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1759908742976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759908751286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759908764269
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1759908882756
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1759908914993
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1759908924973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759908925307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759908930016
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1759908936349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1759908937435
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1759908940409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759908940688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759908949730
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1759908955287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759908963278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759908966398
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1759908967419
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1759908972629
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1759908977372
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1759908985094
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1759909044898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759909270482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759909286940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1759909288968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759909300252
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759909321848
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1759909352359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1759909354277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1759909357365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759909393929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759909402249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759909412285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759909412827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759909413143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759909463021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1759909465106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1759909530404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1759909533324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1759909683398
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1759909686689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1759909943396
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1759909950002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759909950293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759909953864
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1759909969951
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1759909980421
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1759909981570
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1759909981755
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1759909981913
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1759909985537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1759909996432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1759910000759
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1759910004911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1759910007701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1759910010399
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1759910014109
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1759910021322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759910021594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759910025072
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1759910039494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759910039779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759910043280
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1759910054858
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1759910055048
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1759910056638
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1759910056840
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1759910057677
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1759910057912
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1759910058089
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1759910058883
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1759910059231
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1759910059487
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1759910060047
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1759910061558
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1759910061748
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1759910062751
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1759910075100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759910075386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759910078835
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1759910084614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1759910088866
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1759910093066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1759910097509
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1759910097844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1759910098082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1759910098389
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1759910098815
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1759910099055
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1759910101912
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1759910103565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759910103831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759910107315
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1759910117754
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1759910119911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759910120195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759910123702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1759910133265
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1759910135267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759910135552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759910143296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759910143305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759910148245
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1759910152818
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759910158375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1759910162044
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1759910163272
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1759910168488
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1759910173612
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1759910182312
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1759910222020
